epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.964,1.40374,2.0894,1.40734,0.98969,0.49,0.94185,0.51952,1.46401,2.76952,1.4179,0.000547247,0.000547247,0.000547247
2,346.989,1.06236,1.27857,1.22254,0.85727,0.84159,0.90293,0.43428,1.8039,1.91434,2.04416,0.001092,0.001092,0.001092
3,519.756,1.04326,1.08179,1.19788,0.85018,0.87615,0.89375,0.48241,1.67872,1.46902,1.69358,0.00162574,0.00162574,0.00162574
4,690.228,1.02797,0.94419,1.18891,0.96447,0.95028,0.95693,0.50203,1.68189,1.18876,1.71707,0.00161749,0.00161749,0.00161749
5,862.994,1.00328,0.86568,1.17399,0.56464,0.77529,0.58607,0.32183,1.61749,3.05031,1.63199,0.00160099,0.00160099,0.00160099
6,1033.3,0.92822,0.77252,1.1411,0.82825,0.92337,0.90294,0.45737,1.74914,1.20579,1.74673,0.00158448,0.00158448,0.00158448
7,1203.25,0.93571,0.75378,1.14311,0.83942,0.77377,0.86457,0.43206,1.81562,1.30947,1.60045,0.00156798,0.00156798,0.00156798
8,1372.62,0.8778,0.68176,1.11342,0.69765,0.84917,0.81318,0.43702,1.6503,1.1743,1.54399,0.00155148,0.00155148,0.00155148
9,1543.47,0.85601,0.66873,1.09702,0.90187,0.90556,0.91714,0.52047,1.48145,0.94793,1.49646,0.00153497,0.00153497,0.00153497
10,1713.79,0.85816,0.65319,1.11039,0.81534,0.84481,0.84482,0.42125,1.6387,0.99839,1.56818,0.00151847,0.00151847,0.00151847
11,1882.36,0.84027,0.64478,1.0931,0.83792,0.865,0.92232,0.5174,1.45309,1.12198,1.4061,0.00150197,0.00150197,0.00150197
12,2053.41,0.83333,0.60466,1.093,0.93738,0.94823,0.95666,0.5495,1.44797,0.93885,1.38618,0.00148546,0.00148546,0.00148546
13,2224.09,0.81839,0.57916,1.09107,0.95774,0.94139,0.97839,0.56721,1.55922,0.83193,1.4429,0.00146896,0.00146896,0.00146896
14,2395.29,0.82049,0.58744,1.0841,0.91211,0.92639,0.93872,0.53337,1.61829,0.95665,1.57557,0.00145246,0.00145246,0.00145246
15,2565.74,0.79475,0.55629,1.08002,0.75871,0.84062,0.88685,0.46734,1.67301,1.12527,1.53336,0.00143595,0.00143595,0.00143595
16,2737.23,0.77518,0.55335,1.06355,0.92013,0.95314,0.94522,0.54039,1.51391,0.97245,1.4001,0.00141945,0.00141945,0.00141945
17,2909.08,0.78827,0.53941,1.07092,0.96147,0.93444,0.9513,0.54939,1.50582,0.89756,1.40006,0.00140295,0.00140295,0.00140295
18,3080.17,0.76542,0.53223,1.0626,0.94977,0.95222,0.96677,0.5824,1.4457,0.82519,1.40481,0.00138644,0.00138644,0.00138644
19,3251.38,0.75321,0.53416,1.05975,0.9504,0.94519,0.96175,0.57343,1.50426,0.9,1.5006,0.00136994,0.00136994,0.00136994
20,3421.74,0.76911,0.53548,1.06263,0.96998,0.95028,0.97146,0.5832,1.38828,0.76318,1.3477,0.00135344,0.00135344,0.00135344
21,3592.28,0.75327,0.52798,1.05186,0.89388,0.94331,0.94538,0.55034,1.43006,0.77846,1.37115,0.00133693,0.00133693,0.00133693
22,3764.41,0.74543,0.50672,1.06253,0.9018,0.96338,0.9467,0.55008,1.46264,0.70192,1.35389,0.00132043,0.00132043,0.00132043
23,3933.51,0.7395,0.51669,1.05152,0.92461,0.95157,0.95539,0.57595,1.41837,0.75091,1.40131,0.00130393,0.00130393,0.00130393
