epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.158,1.3998,2.08718,1.4198,0.79245,0.55988,0.90806,0.44598,1.67975,3.08526,1.55104,0.000547247,0.000547247,0.000547247
2,339.554,1.07963,1.30168,1.2435,0.48647,0.4475,0.4845,0.23805,1.75633,2.9818,2.00648,0.00108472,0.00108472,0.00108472
3,505.437,1.044,1.08784,1.20216,0.72086,0.78812,0.80992,0.40118,1.96509,2.03015,2.03628,0.00160385,0.00160385,0.00160385
4,675.685,1.05407,0.97479,1.20344,0.84231,0.84417,0.86738,0.43744,1.57775,1.43018,1.68148,0.00158448,0.00158448,0.00158448
5,874.378,0.98185,0.86282,1.16873,0.94769,0.95528,0.97041,0.50656,1.50933,1.23908,1.59664,0.00155698,0.00155698,0.00155698
6,1068.92,0.91611,0.76797,1.1444,0.82099,0.84131,0.91475,0.43611,1.6977,1.35466,1.61074,0.00152947,0.00152947,0.00152947
7,1247.33,0.92757,0.747,1.14265,0.90147,0.87278,0.91714,0.48633,1.70186,1.10522,1.65241,0.00150197,0.00150197,0.00150197
8,1429.7,0.8849,0.68817,1.12894,0.86797,0.88592,0.90942,0.48426,1.72981,0.98744,1.77378,0.00147446,0.00147446,0.00147446
9,1609.2,0.88236,0.66737,1.12546,0.902,0.88278,0.92009,0.50601,1.59291,0.878,1.66168,0.00144696,0.00144696,0.00144696
10,1787.74,0.86202,0.644,1.11218,0.92345,0.92944,0.95783,0.54776,1.49762,0.92143,1.41254,0.00141945,0.00141945,0.00141945
11,1967.06,0.83116,0.64303,1.09397,0.95305,0.96917,0.97537,0.55824,1.45715,0.90038,1.49208,0.00139195,0.00139195,0.00139195
12,2141.83,0.81121,0.60375,1.08927,0.98064,0.96866,0.97213,0.56741,1.38497,0.88171,1.4128,0.00136444,0.00136444,0.00136444
13,2332.87,0.80252,0.5786,1.08946,0.93306,0.95264,0.95881,0.54794,1.60158,0.81304,1.52611,0.00133693,0.00133693,0.00133693
14,2524.04,0.80774,0.58113,1.08401,0.91716,0.94222,0.91793,0.507,1.68515,0.94006,1.68573,0.00130943,0.00130943,0.00130943
15,2703.31,0.77613,0.55569,1.07431,0.9477,0.97313,0.97166,0.57236,1.44279,0.81285,1.42842,0.00128192,0.00128192,0.00128192
16,2883.51,0.76342,0.546,1.06484,0.94406,0.91549,0.94505,0.55526,1.38469,0.96323,1.36756,0.00125442,0.00125442,0.00125442
17,3062.92,0.75546,0.52972,1.06895,0.9048,0.92056,0.90824,0.46318,1.70831,0.85916,1.50861,0.00122691,0.00122691,0.00122691
18,3248.84,0.74112,0.52267,1.04937,0.96431,0.96222,0.97278,0.58839,1.42327,0.74864,1.38318,0.00119941,0.00119941,0.00119941
19,3432.81,0.7409,0.53144,1.06186,0.92402,0.96792,0.96648,0.54604,1.47847,0.81639,1.42792,0.0011719,0.0011719,0.0011719
20,3612.76,0.76175,0.52183,1.06897,0.95739,0.94578,0.96514,0.56914,1.43929,0.78298,1.39694,0.0011444,0.0011444,0.0011444
21,3797.9,0.73244,0.52342,1.05108,0.92239,0.91756,0.95357,0.53642,1.41854,0.85229,1.42104,0.00111689,0.00111689,0.00111689
22,3984.34,0.71691,0.49456,1.05299,0.97913,0.95528,0.96499,0.57469,1.49071,0.69683,1.42055,0.00108938,0.00108938,0.00108938
23,4173.77,0.73714,0.51409,1.05854,0.92431,0.93139,0.94551,0.56969,1.46409,0.72615,1.46681,0.00106188,0.00106188,0.00106188
24,4354.67,0.72333,0.49174,1.06316,0.93319,0.96917,0.96349,0.56197,1.40761,0.78442,1.39636,0.00103437,0.00103437,0.00103437
25,4531.99,0.69823,0.47974,1.04191,0.97425,0.95156,0.9737,0.59375,1.42841,0.63077,1.41421,0.00100687,0.00100687,0.00100687
26,4717.48,0.69513,0.47197,1.03632,0.95395,0.96686,0.97331,0.60745,1.34567,0.7529,1.33991,0.000979362,0.000979362,0.000979362
27,4898.15,0.68256,0.46951,1.02946,0.95382,0.97611,0.97636,0.60993,1.30902,0.78431,1.33838,0.000951857,0.000951857,0.000951857
28,5078.9,0.68708,0.47247,1.03497,0.88635,0.92111,0.96621,0.58635,1.42414,0.82803,1.383,0.000924352,0.000924352,0.000924352
29,5256.05,0.70317,0.47121,1.04059,0.96309,0.95722,0.96224,0.56654,1.45258,0.71535,1.41331,0.000896846,0.000896846,0.000896846
30,5437.61,0.68225,0.46357,1.03203,0.9388,0.94774,0.96491,0.58682,1.31952,0.71089,1.28274,0.00086934,0.00086934,0.00086934
31,5624.93,0.65728,0.44498,1.01993,0.95562,0.93201,0.97424,0.60542,1.33551,0.69749,1.30776,0.000841835,0.000841835,0.000841835
32,5813.76,0.67729,0.45137,1.0325,0.95057,0.95528,0.97823,0.61216,1.36206,0.70174,1.32845,0.000814329,0.000814329,0.000814329
33,5996.22,0.67616,0.45276,1.03131,0.96489,0.93178,0.9727,0.60113,1.32459,0.76417,1.31779,0.000786824,0.000786824,0.000786824
34,6181.82,0.64735,0.43045,1.01885,0.94072,0.97284,0.9752,0.59891,1.35871,0.74873,1.29204,0.000759318,0.000759318,0.000759318
35,6365.01,0.66983,0.42479,1.02572,0.95686,0.95383,0.97301,0.61242,1.29745,0.66767,1.3292,0.000731813,0.000731813,0.000731813
